Country,Language Name,Language Code,Population Group,Language Vitality,Scripture,Active Translation,Year Scripture Published
Sudan,Dilling,dil,10K - 99.9K,Dying,,Not Shown,
Sudan,Dagik,dec,10K - 99.9K,Developing,,Not Shown,
Sudan,Burun,bdi,10K - 99.9K,Developing,Selections,Not Shown,2016.0
Sudan,Andaandi,dgl,10K - 99.9K,In_Trouble,,Not Shown,
Sudan,Acheron,acz,10K - 99.9K,Developing,,Not Shown,
Sudan,Midob,mei,10K - 99.9K,Vigorous,,Not Shown,
Sudan,Shatt,shj,10K - 99.9K,In_Trouble,Selections,Not Shown,2018.0
Sudan,Sign Language in Al Jazirah,SD73,10K - 99.9K,Vigorous,,Not Shown,
Sudan,Tumtum,tbr,10K - 99.9K,In_Trouble,,Not Shown,
Sudan,Tulishi,tey,10K - 99.9K,In_Trouble,,Not Shown,
Sudan,Temein,teq,10K - 99.9K,In_Trouble,,Not Shown,
Sudan,Tagoi,tag,10K - 99.9K,In_Trouble,,Not Shown,
Sudan,Sign Language in Khartoum,SD86,10K - 99.9K,Vigorous,,Not Shown,
Bangladesh,Atong,aot,10K - 99.9K,In_Trouble,,Not Shown,
Afghanistan,"Pashai, Southwest",psh,10K - 99.9K,Vigorous,,Not Shown,
Bangladesh,Mru,mro,10K - 99.9K,Developing,New Testament,Not Shown,1994.0
Niger,Tasawaq,twq,10K - 99.9K,Vigorous,,Not Shown,
Niger,Tagdal,tda,10K - 99.9K,Vigorous,,Not Shown,
Niger,"Kanuri, Bilma",bms,10K - 99.9K,Vigorous,,Not Shown,
Bhutan,Bumthangkha,kjz,10K - 99.9K,In_Trouble,,Not Shown,
Pakistan,Gurgula,ggg,10K - 99.9K,Vigorous,,Not Shown,
Pakistan,Ghera,ghr,10K - 99.9K,Vigorous,,Not Shown,
Pakistan,Dehwari,deh,10K - 99.9K,Vigorous,,Not Shown,
Pakistan,Bateri,btv,10K - 99.9K,Vigorous,,Not Shown,
Pakistan,Balti,bft,10K - 99.9K,Developing,,Not Shown,
Pakistan,Goaria,gig,10K - 99.9K,Vigorous,,Not Shown,
Pakistan,Jadgali,jdg,10K - 99.9K,Vigorous,,Not Shown,
Pakistan,Jogi,jog,10K - 99.9K,Vigorous,,Not Shown,
Pakistan,Sindhi Bhil,sbn,10K - 99.9K,Vigorous,,Not Shown,
Pakistan,Sign Language in Balochistan,PK66,10K - 99.9K,Vigorous,,Not Shown,
Pakistan,Palula,phl,10K - 99.9K,Developing,,Not Shown,
Pakistan,Loarki,lrk,10K - 99.9K,Vigorous,,Not Shown,
Pakistan,Lasi,lss,10K - 99.9K,Vigorous,,Not Shown,
Pakistan,Khetrani,xhe,10K - 99.9K,Vigorous,,Not Shown,
Pakistan,Ormuri,oru,5K - 9.9K,In_Trouble,,Not Shown,
Pakistan,Kalkoti,xka,5K - 9.9K,In_Trouble,,Not Shown,
Afghanistan,Grangali,nli,5K - 9.9K,In_Trouble,,Not Shown,
Pakistan,Yadgha,ydg,5K - 9.9K,In_Trouble,,Not Shown,
Pakistan,Vaghri,vgr,5K - 9.9K,Vigorous,,Not Shown,
Pakistan,Jandavra,jnd,5K - 9.9K,Vigorous,,Not Shown,
Pakistan,Dameli,dml,5K - 9.9K,Vigorous,,Not Shown,
Afghanistan,Savi,sdg,5K - 9.9K,Vigorous,,Not Shown,
Pakistan,Kalasha,kls,5K - 9.9K,Vigorous,,Not Shown,
Iran,Soi,soj,5K - 9.9K,In_Trouble,,Not Shown,
Iran,Sivandi,siy,5K - 9.9K,In_Trouble,,Not Shown,
Afghanistan,Prasuni,prn,5K - 9.9K,Vigorous,,Not Shown,
Iran,Nayini,nyq,5K - 9.9K,In_Trouble,,Not Shown,
Iran,Natanzi,ntz,5K - 9.9K,In_Trouble,,Not Shown,
Afghanistan,Munji,mnj,5K - 9.9K,Developing,,Not Shown,
Iran,Gazi,gzi,5K - 9.9K,In_Trouble,,Not Shown,
Iran,"Dari, Zoroastrian",gbz,5K - 9.9K,Dying,,Not Shown,
Iran,Bashkardi,bsg,5K - 9.9K,In_Trouble,,Not Shown,
Algeria,"Tamazight, Temacine",tjo,5K - 9.9K,In_Trouble,,Not Shown,
Bhutan,Lakha,lkh,5K - 9.9K,In_Trouble,,Not Shown,
Sudan,Wali,wll,5K - 9.9K,Vigorous,,Not Shown,
Bhutan,Bhutanese Sign Language,BT83,5K - 9.9K,Developing,,Not Shown,
Bhutan,Brokpake,sgt,5K - 9.9K,In_Trouble,,Not Shown,
Sudan,Sign Language in Kassala,SD49,5K - 9.9K,Vigorous,,Not Shown,
Sudan,Shwai,shw,5K - 9.9K,In_Trouble,,Not Shown,
Bhutan,Layakha,lya,1000 - 4999,In_Trouble,,Not Shown,
Bhutan,Dakpakha,dka,1000 - 4999,In_Trouble,,Not Shown,
Bhutan,Lhokpu,lhp,1000 - 4999,In_Trouble,,Not Shown,
